S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30
buffer_test_bin.100	10506	12439	15822	12273	14385	10591	6804	5356	6270	12277	20916	78123	32317	33283	21025	20812	13744	19020	17728	20254	9638	7763	10285	10675	7444	4006	3720	4920	4572	8061
buffer_test_bin.101	64715	87193	105144	83979	89367	137280	65126	70379	78709	125794	9479	60735	18574	16829	27798	5589	24659	10379	13986	13358	57558	45468	64146	66612	55403	37817	26916	65396	58378	63196
buffer_test_bin.102	306771	398210	481858	400993	425318	682902	313378	344783	384242	611378	36899	263354	66129	57640	99732	18262	87284	32546	43252	55173	246451	199967	287106	284980	267840	176604	124337	294680	253426	281829
buffer_test_bin.103	43204	54604	66775	50932	64256	34316	23248	17516	21255	44278	55995	187350	77681	69570	65347	101229	82639	106000	103876	91083	45008	32849	50049	55926	30631	16887	15067	20107	20916	35868
buffer_test_bin.104	875367	1111745	1374533	1094648	1194354	1695559	881067	843130	979963	1651711	95462	704903	158930	129594	241046	47352	210815	73223	90392	145837	836438	648021	905465	969515	749143	470133	392458	826021	735467	895722
buffer_test_bin.105	10236	12930	15647	12879	14558	11860	5133	6241	6597	9742	16680	53083	20104	22046	13486	14793	15473	19229	18195	16604	5991	5237	8329	7075	5663	4158	2511	4992	4640	5639
buffer_test_bin.106	20644	25439	31337	24202	29325	16882	10187	8257	9715	18498	15987	61192	30985	28325	26938	23415	27154	24394	27334	17574	23966	17787	26239	29812	19151	10762	9929	15859	16315	24040
buffer_test_bin.10	9524	10751	15197	10601	12644	8149	5947	4531	5083	10020	19385	73395	31930	33372	20141	25842	24467	27272	28587	21010	15228	10731	13520	16490	9963	5598	5241	7144	7078	12594
buffer_test_bin.11	624327	806271	1003149	775253	839102	1537867	823800	761614	911516	1562898	73322	516022	124893	103347	192619	45819	197311	70656	95777	124463	641871	476536	659129	726935	731333	454342	389459	816954	733300	905227
buffer_test_bin.12	110734	139581	137694	127624	159463	168116	63566	94181	94960	116005	22599	147191	39316	39217	49698	14509	39457	24117	27566	36281	43858	48849	69734	58027	48607	38049	18821	54620	44828	51736
buffer_test_bin.13	17564	21919	27101	22427	24995	24199	14646	12115	15011	26515	2376	16082	3644	2510	4841	1104	3979	1317	1627	2822	15423	12165	17138	18104	12250	7956	6540	12599	12146	16351
buffer_test_bin.14	119384	129544	182185	133612	165042	115891	77150	57122	69083	148075	421034	1455748	563494	461184	296938	414367	277700	394764	376704	373604	145475	103138	152491	179902	168024	92598	81474	111152	105509	179881
buffer_test_bin.15	62172	78627	97421	72304	89930	50790	33192	26315	30216	63165	74877	279550	143794	118104	168740	127280	109859	128479	129900	107108	66909	43526	72247	84708	51851	29543	26154	40114	42521	64714
buffer_test_bin.16	66639	87633	104368	86037	93510	128120	60713	65260	74352	118314	7746	59045	12756	10662	19991	3751	17050	6166	7733	11815	56867	46952	64304	65990	51085	33704	25377	59487	51977	58911
buffer_test_bin.17	5257	9194	5321	4322	3959	486	240	262	294	427	1329	7361	2191	2028	2133	34	204	82	126	80	1352	1032	2346	1932	186	149	102	271	206	197
buffer_test_bin.18	11510	15127	15814	14482	17205	18958	7361	10392	10372	12936	2476	15722	4122	4204	5304	1673	4294	2557	3184	4103	4990	5382	7910	6596	5640	4242	2082	6145	5287	5995
buffer_test_bin.19	18056	24288	28287	23730	25646	25685	12174	13341	14478	22613	2717	19403	4181	3330	6129	1354	5078	2394	2764	4227	15234	13107	17545	18301	10365	6741	4912	11277	10199	11474
buffer_test_bin.1	24408	32668	39117	30373	32939	54949	26122	27521	31426	50986	18220	65243	10468	13205	11350	13560	16692	17104	16273	22977	23982	18069	25278	27167	21095	14416	10471	24347	22076	24944
buffer_test_bin.20	284362	370881	444878	384700	408410	604898	295453	294962	329414	528445	35946	257683	59164	49693	89485	16844	83933	27634	38336	46268	233474	190018	271747	272790	240535	154858	122685	261385	231257	267218
buffer_test_bin.21	8601	11125	14289	9950	11710	14027	8381	7722	9114	16425	1880	9917	3453	2682	4003	16926	15121	18907	16895	19131	9800	6683	9679	10898	8422	4941	4749	7535	7467	10619
buffer_test_bin.22	61039	77024	95649	71915	82728	118238	66504	58805	69707	125146	10617	59302	15941	13767	18441	7021	17508	8917	10558	12673	58416	43028	63072	68813	56718	34657	28745	56574	52787	68199
buffer_test_bin.23	10305	11541	16985	11514	14891	8337	5350	4164	4987	10598	14317	45189	21107	21644	13031	14909	17895	18397	21888	10416	9230	7130	10824	10331	8854	4835	4300	4878	4884	9162
buffer_test_bin.24	55012	67288	68921	61929	75188	76732	30468	45270	41730	56608	40640	160791	75839	66514	35055	27566	29645	35140	33230	36517	18558	20306	30606	24156	23617	16461	9483	22342	18415	23042
buffer_test_bin.25	209756	265993	327418	261844	285733	430141	227388	215522	251182	427971	24016	178686	34066	27046	53683	12167	50854	17064	20244	38209	204695	155330	217941	238938	192908	120581	99632	204710	190177	235459
buffer_test_bin.26	38010	45186	58109	45379	57799	32555	21457	16792	19433	42349	131534	414349	180494	159720	109259	151682	103993	150107	135817	129545	36901	27017	47329	45951	32959	17792	15477	18814	19591	35437
buffer_test_bin.27	17568	18399	27706	18895	19746	18209	13810	10096	11473	23297	2335	18880	1388	1867	2279	733	2647	873	1063	1782	20867	11909	19150	24420	36020	20596	20851	36662	33687	45570
buffer_test_bin.28	4299	5271	6917	5022	6034	7770	4342	3955	5070	8621	481	4713	946	868	2318	409	2159	843	1486	664	5347	3607	5352	5737	6238	3685	3624	6513	6125	8154
buffer_test_bin.29	212564	245612	312101	238710	287464	203428	118543	99196	116213	231818	441023	1227109	479069	522935	394503	797052	709186	882086	928000	774369	227788	167871	233552	268104	171014	94220	83997	123339	121460	178238
buffer_test_bin.2	3395	3692	5183	3740	4589	3462	2041	1993	1986	4024	26244	93243	38331	39388	21571	19629	12847	18033	19069	22038	2667	2424	3386	2790	3413	1850	1749	2186	1917	3747
buffer_test_bin.30	70560	81810	103762	78904	93493	72943	42895	37344	42501	78310	154904	516531	174280	179513	119503	142779	123306	145489	149342	133710	66758	51479	74148	82877	66772	39126	36531	55520	52704	81802
buffer_test_bin.31	164574	208359	259179	196275	220620	278305	152914	146807	165830	283377	28786	150854	49796	53725	86961	298765	263290	327036	328381	369868	171862	126040	178333	196984	152165	91307	80477	142304	129587	175643
buffer_test_bin.32	67127	80551	100236	79446	97038	62459	36700	31800	36761	67709	171655	517152	177441	197755	123739	148697	104513	150561	143628	154091	46752	37337	54191	53984	43380	24314	20536	26473	25308	43147
buffer_test_bin.33	510300	641285	795767	652649	727477	1094394	573685	537021	622783	1068134	56361	434179	83066	71164	131670	20712	101848	26104	29136	86745	461488	363156	514146	546031	489126	293146	258648	489234	434711	592552
buffer_test_bin.34	164326	219968	271508	195018	224903	321022	160280	168018	200671	321939	24825	161591	48607	38578	73495	34123	105235	47021	66284	31804	196004	141059	195042	216458	229016	132738	119453	213550	192251	261818
buffer_test_bin.35	19807	25870	31900	24379	26947	42963	21798	21342	24906	42290	3260	20869	6147	5264	8494	2108	9538	3997	5391	4962	19038	14260	20210	21103	18921	12309	9655	20367	19595	23436
buffer_test_bin.36	580062	722699	881771	739691	827600	665854	349348	327241	372661	644872	63045	489425	83311	68803	128453	15711	86747	22285	24426	66829	461280	391385	572267	567056	266906	168486	134131	268747	247092	308807
buffer_test_bin.37	7181	8129	12149	8889	10286	6864	4730	3914	4336	9097	49483	171518	53405	69746	38200	68871	68501	79881	87925	69278	10606	6694	8100	11516	11606	6080	5877	7432	7116	11867
buffer_test_bin.38	90252	118810	143338	116597	125643	177373	86197	92283	102275	163998	11286	79239	18213	15380	28142	5331	24583	9219	11696	16657	80724	64457	87168	91559	75579	50641	37997	87692	78705	87556
buffer_test_bin.39	2855	3358	4607	3252	4048	2383	1531	1366	1388	3111	11081	43101	16198	17194	6511	7978	5097	7820	7644	8465	1565	1467	2209	1779	2112	1195	983	1096	1063	2259
buffer_test_bin.3	59410	74814	96001	71913	79935	93389	53393	49644	55989	97181	9360	59034	16572	13525	22931	66251	79941	77169	79266	76161	60245	45650	63809	69522	77612	46304	42419	78610	74695	98360
buffer_test_bin.40	5335	6866	8986	7008	7786	8952	4399	4903	4906	7701	7848	26858	18267	18238	15627	10558	17622	14784	18603	7924	5601	4379	5998	6422	6135	3945	3147	6081	5426	6687
buffer_test_bin.41	26341	34154	42051	33456	37257	42969	21613	22025	23976	39781	4792	28992	8546	6761	9456	20761	25259	25976	26828	28416	23845	18277	26575	27846	24417	14904	12307	23932	22155	27045
buffer_test_bin.42	336179	436761	542946	406537	453991	815442	446708	413930	482252	820943	44258	303673	87885	72403	137397	35316	145323	61522	83839	63584	341698	244878	350542	387236	443181	261513	236096	469388	427341	531499
buffer_test_bin.43	42426	48111	67622	49698	57705	37126	23499	19946	21396	41002	64071	273754	150595	143682	119586	132688	156491	142306	167791	86822	87611	55013	69686	105975	61328	33052	34040	48964	50757	86342
