S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30
buffer_test_bin.100	0.34503406	0.37834403	0.4562893	0.3835568	0.41633192	0.32934788	0.24056429	0.18320656	0.21115883	0.37509084	0.5137191	0.8876828	0.66321623	0.664732	0.5557111	0.5342954	0.3641395	0.47423053	0.43400615	0.48254508	0.31090024	0.26427388	0.32761303	0.33653834	0.25572553	0.15073511	0.14373142	0.17085722	0.16246547	0.27595937
buffer_test_bin.101	0.60603637	0.6867831	0.75730073	0.68949425	0.70054173	0.8166083	0.58688354	0.5827306	0.6320753	0.7881892	0.11287427	0.47535113	0.17739657	0.15578009	0.26410812	0.058704343	0.20821036	0.087145	0.10418455	0.1387122	0.5607936	0.48494056	0.594824	0.59564006	0.51018775	0.3908476	0.32518965	0.5624574	0.5046433	0.5584204
buffer_test_bin.102	0.9858116	0.9887492	0.9911256	0.9892856	0.98917997	0.9925851	0.9858733	0.98566496	0.9888489	0.9936036	0.45928836	0.9653874	0.6118562	0.5462473	0.78513753	0.2515685	0.70802164	0.32248056	0.3615686	0.6087199	0.98098683	0.97094655	0.9855336	0.98446876	0.982652	0.95793086	0.9234254	0.9858069	0.97848016	0.98541266
buffer_test_bin.103	0.6827907	0.78914434	0.8089262	0.7407626	0.8004867	0.5612762	0.46038234	0.392483	0.4481665	0.6642694	0.49028286	0.7967755	0.62881786	0.53819853	0.5871222	0.74802	0.629025	0.73375076	0.67240405	0.6522073	0.6954396	0.6261104	0.6746529	0.75763035	0.5113333	0.38695222	0.35506824	0.41510257	0.43292126	0.5540327
buffer_test_bin.104	0.979016	0.98376215	0.98536414	0.9825457	0.9838311	0.988599	0.9807781	0.97713506	0.9824395	0.9875379	0.8540566	0.96873754	0.8979234	0.8648874	0.9350006	0.6720119	0.9270398	0.7103714	0.7013577	0.9091631	0.9786431	0.96890396	0.97834516	0.97783995	0.9755834	0.9652194	0.9579488	0.97764385	0.97459674	0.98105305
buffer_test_bin.105	0.3311586	0.37369078	0.4409495	0.38326472	0.41806695	0.3467783	0.18012485	0.20401531	0.21351694	0.30526704	0.4376023	0.7817262	0.4946385	0.5190927	0.39160475	0.42963853	0.42473012	0.47916555	0.47243744	0.42641	0.20884319	0.18830338	0.26531956	0.23429748	0.20405471	0.14472689	0.105215415	0.17884678	0.15967813	0.2030234
buffer_test_bin.106	0.5697549	0.6658762	0.716174	0.63233244	0.6861745	0.48238713	0.34458894	0.28952357	0.3335297	0.5154431	0.26414257	0.6129209	0.50502676	0.4486784	0.56650877	0.41966653	0.4869519	0.40919924	0.43028292	0.3084123	0.64509064	0.55795085	0.64659613	0.7110447	0.54469615	0.3862379	0.36520022	0.50977075	0.515687	0.6359255
buffer_test_bin.10	0.38666365	0.4108506	0.52788776	0.413705	0.45556265	0.32824716	0.268685	0.19327684	0.21905379	0.3810758	0.5546269	0.9255349	0.73142225	0.73785245	0.6012818	0.6799838	0.62395334	0.67001146	0.67599136	0.57887053	0.51902956	0.42410365	0.4866378	0.5543274	0.39580667	0.25023183	0.2423973	0.2968497	0.287032	0.47820592
buffer_test_bin.11	0.9989338	0.9992274	0.9993985	0.9994008	0.9991789	0.9987504	0.99863213	0.9986298	0.9990066	0.9994806	0.84560496	0.99845254	0.9201193	0.87158835	0.9834643	0.69475216	0.9775546	0.7124442	0.7219439	0.96560806	0.9989893	0.9988121	0.9990737	0.99899626	0.99845564	0.9982175	0.9985381	0.99850494	0.9986059	0.9986298
buffer_test_bin.12	0.9932112	0.9972826	0.9975056	0.9965765	0.9980786	0.9968837	0.94383377	0.9753701	0.9769868	0.9875194	0.60770106	0.98859096	0.7566882	0.73634773	0.8477938	0.44714952	0.767606	0.5819557	0.619745	0.74679977	0.9010878	0.91886383	0.9711761	0.94734216	0.8949636	0.8349917	0.63265365	0.9190813	0.86189795	0.9093316
buffer_test_bin.13	0.47385553	0.5327329	0.60898566	0.5439702	0.5746342	0.5711636	0.4284909	0.34164724	0.40647227	0.6050563	0.06345753	0.33883107	0.09240248	0.0626392	0.1344259	0.030249381	0.10601886	0.032467354	0.03664941	0.076206565	0.42616326	0.36001492	0.45201847	0.4751443	0.36112007	0.25660008	0.23076817	0.3696272	0.34704733	0.46290267
buffer_test_bin.14	0.77223784	0.78875947	0.87209994	0.80812204	0.8510359	0.7239044	0.6494985	0.54215795	0.5982606	0.83157474	0.97502106	0.9939236	0.9796785	0.9762193	0.9688243	0.98375183	0.9609772	0.98239434	0.9625065	0.9564954	0.55049145	0.5437309	0.6463513	0.603845	0.72147286	0.5481967	0.5093427	0.46028224	0.4668498	0.6961248
buffer_test_bin.15	0.7772449	0.88573134	0.8843742	0.83350587	0.8751801	0.71996784	0.6004261	0.5409594	0.59352297	0.8068858	0.6621084	0.9177952	0.87707156	0.8155329	0.948681	0.8492139	0.7976828	0.8310307	0.7679908	0.7015535	0.82439965	0.72852385	0.7889807	0.8634118	0.7283295	0.60369	0.546492	0.702826	0.74038523	0.7779216
buffer_test_bin.16	0.92335427	0.95692486	0.9791652	0.95947003	0.9640444	0.9883933	0.9040551	0.8992595	0.929258	0.983985	0.20972414	0.80420053	0.28801262	0.24543568	0.45295957	0.10800143	0.3735876	0.1341049	0.14959845	0.30161476	0.8829256	0.83431494	0.9090519	0.9101947	0.8553568	0.7248012	0.63930106	0.88783115	0.83569586	0.89266187
buffer_test_bin.17	0.55317533	0.75162184	0.5507018	0.4735237	0.4425151	0.015035089	0.011929129	0.0094538815	0.011053612	0.010069293	0.16013968	0.5522046	0.24000551	0.21612684	0.24610183	0.0023494451	0.015735501	0.0048229927	0.0029240563	0.004380984	0.17291711	0.1356575	0.30012888	0.24831867	0.004414985	0.0042262813	0.0044523855	0.0058039115	0.0026316505	0.0051748995
