Data	Sample	Treatment
BATA01E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S01	A
BATA05E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S02	A
BATA06E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S03	A
BATA07E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S04	A
BATA08E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S05	A
BATA13E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S06	A
BATA17E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S07	A
BATA18E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S08	A
BATA19E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S09	A
BATA20E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S10	A
BATB03E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S11	B
BATB04E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S12	B
BATB05E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S13	B
BATB07E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S14	B
BATB10E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S15	B
BATB11E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S16	B
BATB12E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S17	B
BATB13E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S18	B
BATB16E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S19	B
BATB17E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S20	B
BATC02E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S21	C
BATC04E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S22	C
BATC05E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S23	C
BATC07E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S24	C
BATC11E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S25	C
BATC12E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S26	C
BATC14E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S27	C
BATC17E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S28	C
BATC18E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S29	C
BATC20E1L1I2_EKDL220014395-1A_H7VKMDSX5_L4_M	S30	C
